store_id,party,source_store_id,source_identifier,store_name,operator_id,street_address,town,county,postcode,latitude,longitude,source,location_type,public,street_address2,street_address3,temporarily_closed,permanently_closed
SC-4700841,Southern Co-op,4700841,9751.0,Welcome Central Hill,2183408,15-17 Central Hill,London,Greater London,SE19 1BG,51.4193561,-0.08348631,Southern Co-op Uberall API,,,,,,
SC-4700842,Southern Co-op,4700842,9739.0,Welcome Staplegrove,2183408,Manor Road,Taunton,Somerset,TA2 6AN,51.03005284,-3.12663029,Southern Co-op Uberall API,,,,,,
SC-4700844,Southern Co-op,4700844,9740.0,Welcome Abbey Wood,2183408,182 Eynsham Drive,London,Greater London,SE2 9PS,51.49320242,0.10924521,Southern Co-op Uberall API,,,,,,
SC-4700846,Southern Co-op,4700846,9741.0,Welcome Culverstone,2183408,Wrotham Road,Gravesend,Kent,DA13 0RF,51.3421932,0.3460341,Southern Co-op Uberall API,,,,,,
SC-4700847,Southern Co-op,4700847,9736.0,Welcome Stoke Bishop,2183408,5 Druid Hill,Bristol,Bristol City,BS9 1EW,51.4811879,-2.6347803,Southern Co-op Uberall API,,,,,,
SC-4700848,Southern Co-op,4700848,9839.0,Welcome Halterworth,2183408,50-52 Saxon Way,Romsey,Hampshire,SO51 5QY,50.99077399,-1.47471024,Southern Co-op Uberall API,,,,,,
SC-4700849,Southern Co-op,4700849,9821.0,Welcome Selhurst,2183408,Selhurst Road,London,Greater London,SE25 5QF,51.38926165,-0.08902054,Southern Co-op Uberall API,,,,,,
SC-4700850,Southern Co-op,4700850,9763.0,Welcome Carshalton,2183408,376 Middleton Road,Carshalton,Greater London,SM5 1HA,51.38456299,-0.1744455,Southern Co-op Uberall API,,,,,,
SC-4700851,Southern Co-op,4700851,9762.0,Welcome Hayes,2183408,2 Material Walk,Hayes,Greater London,UB3 1DZ,51.50444255,-0.42567033,Southern Co-op Uberall API,,,,,,
SC-4700852,Southern Co-op,4700852,9780.0,Welcome Crawley,2183408,5 Shire Parade,Crawley,West Sussex,RH10 7XR,51.11991829,-0.14458118,Southern Co-op Uberall API,,,,,,
SC-4700853,Southern Co-op,4700853,9777.0,Welcome Cranfield,2183408,24 University Way,Bedford,Central Bedfordshire,MK43 0ST,52.0747977,-0.6277775,Southern Co-op Uberall API,,,,,,
SC-4700854,Southern Co-op,4700854,9765.0,Welcome Faversham,2183408,9 Whitstable Road,Faversham,Kent,ME13 8BE,51.3141298,0.898185,Southern Co-op Uberall API,,,,,,
SC-4700856,Southern Co-op,4700856,9782.0,Welcome Beccles,2183408,8a Market Street,Beccles,Suffolk,NR34 9HA,52.45779725,1.56330369,Southern Co-op Uberall API,,,,,,
SC-4700857,Southern Co-op,4700857,9759.0,Welcome Addlestone,2183408,51-53 Green Lane,Addlestone,Surrey,KT15 2TX,51.37442677,-0.49697108,Southern Co-op Uberall API,,,,,,
SC-4700858,Southern Co-op,4700858,9785.0,Welcome Thames View,2183408,1 Farr Avenue,Barking,Greater London,IG11 0NY,51.5286112,0.1042077,Southern Co-op Uberall API,,,,,,
SC-4700859,Southern Co-op,4700859,9786.0,Welcome Upminster,2183408,28 Station Road,Upminster,Greater London,RM14 2UB,51.55726713,0.2499106,Southern Co-op Uberall API,,,,,,
SC-4700860,Southern Co-op,4700860,9774.0,Welcome Kents Hill,2183408,1 Tenterden Crescent,Milton Keynes,Milton Keynes,MK7 6HH,52.0256327,-0.6956843,Southern Co-op Uberall API,,,,,,
SC-4700861,Southern Co-op,4700861,9776.0,Welcome Stratford Park,2183408,Addington Avenue,Milton Keynes,Milton Keynes,MK12 5GH,52.05807185,-0.82506393,Southern Co-op Uberall API,,,,,,
SC-4700862,Southern Co-op,4700862,9779.0,Welcome Wixams,2183408,147 Brooklands Avenue,Bedford,Bedford,MK42 6AE,52.091154,-0.4609806,Southern Co-op Uberall API,,,,,,
SC-4700863,Southern Co-op,4700863,9843.0,Welcome Sittingbourne,2183408,Gadby Road,Sittingbourne,Kent,ME10 1TH,51.3470466,0.71263022,Southern Co-op Uberall API,,,,,,
SC-4700864,Southern Co-op,4700864,9781.0,Welcome Downs Barn,2183408,127 Downs Barn Boulevard,Milton Keynes,Milton Keynes,MK14 7QB,52.05389447,-0.74770718,Southern Co-op Uberall API,,,,,,
SC-4700865,Southern Co-op,4700865,9760.0,Welcome Fairlands,2183408,65 Fairlands Avenue,Guildford,Surrey,GU3 3NB,51.26282634,-0.62036047,Southern Co-op Uberall API,,,,,,
SC-4700866,Southern Co-op,4700866,9783.0,Welcome Beanhill,2183408,Unit 1 Dodkin,Milton Keynes,Milton Keynes,MK6 4LP,52.0178598,-0.7358205,Southern Co-op Uberall API,,,,,,
SC-4700867,Southern Co-op,4700867,9789.0,Welcome Monier Road,2183408,79-85 Monier Road,London,Greater London,E3 2PS,51.5395469,-0.0235269,Southern Co-op Uberall API,,,,,,
SC-4700868,Southern Co-op,4700868,9778.0,Welcome Bromham,2183408,100 Stagsden Road,Bedford,Bedford,MK43 8PU,52.14449238,-0.53542934,Southern Co-op Uberall API,,,,,,
SC-4700869,Southern Co-op,4700869,9742.0,Welcome Houndmills,2183408,Aldermaston Road South,Basingstoke,Hampshire,RG21 6BN,51.2752452,-1.10337736,Southern Co-op Uberall API,,,,,,
