centroid_store_id,centroid_party,other_party_stores_within_5min
CG-105942-0000,Co-operative Group,1
CG-105944-0000,Co-operative Group,1
CG-105946-0000,Co-operative Group,1
CG-105953-0000,Co-operative Group,1
CG-105988-0000,Co-operative Group,1
CG-105992-0000,Co-operative Group,1
CG-106003-0000,Co-operative Group,2
CG-106036-0000,Co-operative Group,4
CG-106055-0000,Co-operative Group,1
CG-106074-0000,Co-operative Group,1
CG-106076-0000,Co-operative Group,2
CG-106091-0000,Co-operative Group,1
CG-106104-0000,Co-operative Group,1
CG-106121-0000,Co-operative Group,1
CG-106257-0000,Co-operative Group,1
CG-106263-0000,Co-operative Group,1
CG-106568-0000,Co-operative Group,1
CG-106577-0000,Co-operative Group,1
CG-106587-0000,Co-operative Group,2
CG-106604-0000,Co-operative Group,1
CG-106654-0000,Co-operative Group,1
CG-106668-0000,Co-operative Group,1
CG-106697-0000,Co-operative Group,1
CG-106698-0000,Co-operative Group,1
CG-106728-0000,Co-operative Group,1
CG-106759-0000,Co-operative Group,1
CG-106769-0000,Co-operative Group,1
CG-106794-0000,Co-operative Group,1
CG-106802-0000,Co-operative Group,1
CG-106834-0000,Co-operative Group,1
CG-106837-0000,Co-operative Group,1
CG-106885-0000,Co-operative Group,1
CG-107209-0000,Co-operative Group,3
CG-107240-0000,Co-operative Group,2
CG-107263-0000,Co-operative Group,1
CG-107264-0000,Co-operative Group,2
CG-107265-0000,Co-operative Group,2
CG-107303-0000,Co-operative Group,2
CG-107312-0000,Co-operative Group,3
CG-107327-0000,Co-operative Group,1
CG-107363-0000,Co-operative Group,2
CG-107391-0000,Co-operative Group,2
CG-107396-0000,Co-operative Group,2
CG-107405-0000,Co-operative Group,1
CG-107420-0000,Co-operative Group,1
CG-107448-0000,Co-operative Group,3
CG-107473-0000,Co-operative Group,4
CG-107530-0000,Co-operative Group,1
CG-107538-0000,Co-operative Group,1
CG-107564-0000,Co-operative Group,2
CG-107581-0000,Co-operative Group,2
CG-107590-0000,Co-operative Group,2
CG-107601-0000,Co-operative Group,1
CG-107623-0000,Co-operative Group,1
CG-107627-0000,Co-operative Group,1
CG-107662-0000,Co-operative Group,1
CG-107666-0000,Co-operative Group,2
CG-107687-0000,Co-operative Group,1
CG-107689-0000,Co-operative Group,1
CG-107704-0000,Co-operative Group,1
CG-107773-0000,Co-operative Group,2
CG-107820-0000,Co-operative Group,1
CG-107830-0000,Co-operative Group,1
CG-107836-0000,Co-operative Group,1
CG-107848-0000,Co-operative Group,1
CG-107868-0000,Co-operative Group,2
CG-107951-0000,Co-operative Group,1
CG-107965-0000,Co-operative Group,1
CG-107995-0000,Co-operative Group,2
CG-108810-0000,Co-operative Group,1
CG-108814-0000,Co-operative Group,1
CG-108928-0000,Co-operative Group,2
CG-108946-0000,Co-operative Group,1
CG-108994-0000,Co-operative Group,1
CG-109252-0000,Co-operative Group,1
CG-109476-0000,Co-operative Group,1
CG-109485-0000,Co-operative Group,1
CG-109626-0000,Co-operative Group,1
CG-109634-0000,Co-operative Group,1
CG-109674-0000,Co-operative Group,1
CG-109689-0000,Co-operative Group,1
CG-109707-0000,Co-operative Group,1
CG-109713-0000,Co-operative Group,1
CG-109718-0000,Co-operative Group,1
CG-109719-0000,Co-operative Group,1
CG-109722-0000,Co-operative Group,1
CG-109725-0000,Co-operative Group,1
CG-109733-0000,Co-operative Group,2
CG-109734-0000,Co-operative Group,1
CG-109738-0000,Co-operative Group,3
CG-109821-0000,Co-operative Group,1
CG-109822-0000,Co-operative Group,1
CG-109823-0000,Co-operative Group,2
CG-109830-0000,Co-operative Group,1
CG-109834-0000,Co-operative Group,1
CG-109837-0000,Co-operative Group,1
CG-109914-0000,Co-operative Group,1
CG-109950-0000,Co-operative Group,1
CG-156167-0000,Co-operative Group,1
SC-4700812,Southern Co-op,2
SC-4700820,Southern Co-op,1
SC-4700823,Southern Co-op,1
SC-4700825,Southern Co-op,2
SC-4700827,Southern Co-op,1
SC-4700829,Southern Co-op,6
SC-4700830,Southern Co-op,1
SC-4700832,Southern Co-op,1
SC-4700833,Southern Co-op,4
SC-4700834,Southern Co-op,1
SC-4700838,Southern Co-op,2
SC-4700839,Southern Co-op,5
SC-4700842,Southern Co-op,1
SC-4700847,Southern Co-op,3
SC-4700849,Southern Co-op,2
SC-4700851,Southern Co-op,1
SC-4700852,Southern Co-op,2
SC-4700854,Southern Co-op,1
SC-4700859,Southern Co-op,1
SC-4700860,Southern Co-op,5
SC-4700861,Southern Co-op,1
SC-4700864,Southern Co-op,7
SC-4700866,Southern Co-op,7
SC-4700870,Southern Co-op,1
SC-4700871,Southern Co-op,4
SC-4700873,Southern Co-op,1
SC-4700874,Southern Co-op,1
SC-4700896,Southern Co-op,3
SC-4700897,Southern Co-op,1
SC-4700904,Southern Co-op,3
SC-4705178,Southern Co-op,1
SC-4705180,Southern Co-op,1
SC-4705181,Southern Co-op,1
SC-4705183,Southern Co-op,2
SC-4705184,Southern Co-op,3
SC-4705185,Southern Co-op,2
SC-4705190,Southern Co-op,2
SC-4705191,Southern Co-op,3
SC-4705194,Southern Co-op,1
SC-4705195,Southern Co-op,2
SC-4705196,Southern Co-op,5
SC-4705197,Southern Co-op,4
SC-4705199,Southern Co-op,2
SC-4705205,Southern Co-op,1
SC-4705207,Southern Co-op,1
SC-4705208,Southern Co-op,1
SC-4705212,Southern Co-op,1
SC-4705216,Southern Co-op,1
SC-4705220,Southern Co-op,1
SC-4705230,Southern Co-op,3
SC-4705233,Southern Co-op,1
SC-4705236,Southern Co-op,1
SC-4705239,Southern Co-op,1
SC-4705243,Southern Co-op,1
SC-4705244,Southern Co-op,6
SC-4705245,Southern Co-op,1
SC-4705247,Southern Co-op,2
SC-4705250,Southern Co-op,1
SC-4705256,Southern Co-op,1
SC-4705258,Southern Co-op,1
SC-4705260,Southern Co-op,1
SC-4705263,Southern Co-op,1
SC-4705268,Southern Co-op,3
SC-4705270,Southern Co-op,1
SC-4705271,Southern Co-op,1
SC-4705272,Southern Co-op,1
SC-4705273,Southern Co-op,1
SC-4705280,Southern Co-op,1
SC-4705282,Southern Co-op,1
SC-4705286,Southern Co-op,1
SC-4705289,Southern Co-op,3
SC-4705293,Southern Co-op,2
SC-4705294,Southern Co-op,2
SC-4705296,Southern Co-op,2
SC-4705298,Southern Co-op,2
SC-4705299,Southern Co-op,3
SC-4705300,Southern Co-op,1
SC-4705302,Southern Co-op,2
SC-4705304,Southern Co-op,1
SC-4705305,Southern Co-op,1
SC-4705307,Southern Co-op,2
SC-4705308,Southern Co-op,1
SC-4705318,Southern Co-op,1
SC-4705319,Southern Co-op,1
