store_id,party,longitude,latitude
SC-4705337,Southern Co-op,-2.5609569,51.5001345
SC-4705338,Southern Co-op,-2.5903574,51.4506347
SC-4705339,Southern Co-op,-2.30406216,50.92764964
SC-4705342,Southern Co-op,-2.35285139,51.37649917
SC-4705365,Southern Co-op,-2.2688994,51.0900674
SC-4705179,Southern Co-op,-2.684626,51.478891
SC-4705184,Southern Co-op,-3.5497812,50.7205693
SC-4705185,Southern Co-op,-3.40989565,50.63204961
SC-4705231,Southern Co-op,-2.77669007,51.42894492
SC-4705234,Southern Co-op,-2.8760835,51.3299748
SC-4705249,Southern Co-op,-2.99955462,51.10886899
SC-4705278,Southern Co-op,-3.1488356,51.026274
SC-4705283,Southern Co-op,-3.18730048,51.03929631
SC-4705307,Southern Co-op,-2.44447453,50.54094144
SC-4705314,Southern Co-op,-3.4154472,50.7475484
SC-4705325,Southern Co-op,-3.39135294,50.63666109
SC-4705329,Southern Co-op,-2.75698079,51.49098925
SC-4705359,Southern Co-op,-2.47990392,50.60897862
SC-4705199,Southern Co-op,-0.75200755,51.23725112
SC-4705240,Southern Co-op,-0.2152736,51.3282372
SC-4705289,Southern Co-op,-0.2745555,51.36392135
SC-4705301,Southern Co-op,-0.6043504,51.3479806
SC-4705318,Southern Co-op,-0.6153862,51.4826026
SC-4705320,Southern Co-op,-0.33779118,51.0647645
SC-4705324,Southern Co-op,-0.49874258,51.36952561
SC-4705331,Southern Co-op,-0.2053619,51.24244412
SC-4705341,Southern Co-op,-0.49976955,51.42071461
SC-4705348,Southern Co-op,-0.48692964,51.3579204
SC-4705354,Southern Co-op,-0.78978204,51.43131057
SC-4705357,Southern Co-op,0.1031574,51.4455449
SC-4705367,Southern Co-op,-0.2202201,51.4210276
SC-4705370,Southern Co-op,-0.36391122,51.06663683
SC-4969604,Southern Co-op,-0.5758534,51.242884
SC-4705178,Southern Co-op,-1.3289766,51.3965234
SC-4705192,Southern Co-op,-1.1199225,51.2815336
SC-4705201,Southern Co-op,-1.2627219,51.2434147
SC-4705210,Southern Co-op,-1.11040445,51.25708105
SC-4705214,Southern Co-op,-1.14212787,51.22957097
SC-4705295,Southern Co-op,-1.53123392,51.50778979
SC-4705321,Southern Co-op,-1.7862498,51.0709429
SC-4705351,Southern Co-op,-1.7867971,51.10105086
SC-4705358,Southern Co-op,-1.33749625,51.40833816
SC-4705368,Southern Co-op,-1.09717492,51.28400355
